Stage,Division,Group/Bracket,Round,Match format,Team A,Team B,Winning team,Game 1 - Score team A,Game 1 - Score team B,Game 2 - Score team A,Game 2 - Score team B,Game 3 - Score team A,Game 3 - Score team B,Team A - Player 1,Team A - Player 2,Team A - Player 3,Team B - Player 1,Team B - Player 2,Team B - Player 3
Group Stage,Open Contender,Group B,5,Single game,JuPikaï,Burger Kings,JuPikaï,15,13,,,,,Pierre BUTTET,Julien Blanchard,,Jorn neyens,joeri vlassaks,
Group Stage,Open Contender,Group C,5,Single game,Kero Kero Cigaro,Paulo Rico,Paulo Rico,9,15,,,,,Lei Decappelle,Pieter De Pauw,,Paul Volle,Emeric Lemoine,
Group Stage,Open Contender,Group C,5,Single game,Rocket Power,Roundnet maestro's,Roundnet maestro's,14,15,,,,,Adriaan Van Gerven,Stijn Van den Branden,,Tomer Kedar,Micha Daling,
Group Stage,Open Contender,Group D,5,Single game,Poel/Van Eeckhaute,Uno Reverse,Poel/Van Eeckhaute,15,10,,,,,Guillaume Van Eeckhaute,Florian Poel,,Martijn Paes,Daan Paes,
Group Stage,Open Contender,Group D,5,Single game,Gilles leftovers,Dragonfoxes are pretty dope 🐉🦊,Dragonfoxes are pretty dope 🐉🦊,9,15,,,,,Maëlig Potiau,Hugo Lebeaupin,,wout thysens,Igor Jottrand,
Group Stage,Open Contender,Group A,6,Single game,Robin's disciples,Yezknedl,Robin's disciples,15,7,,,,,Levi Vandaele,Vincent Mathieu,,Fre Eskens,Benjamin Bachler,
Group Stage,Open Contender,Group A,6,Single game,P'tits Loups,BEL - Theunis/Declercq,BEL - Theunis/Declercq,10,15,,,,,Gilles Hublet,Gauthier Vandamme,,Bram Declercq,Frederik Theunis,RB Roundnet Belgium
Group Stage,Open Contender,Group B,6,Single game,Here Aghent,JuPikaï,Here Aghent,15,13,,,,,Robin Florinda,Markus Anderle,,Pierre BUTTET,Julien Blanchard,
Group Stage,Open Contender,Group B,6,Single game,Aach Daniel,Burger Kings,Burger Kings,13,15,,,,,Dominik Moritz,Daniel Schimek,,Jorn neyens,joeri vlassaks,
Group Stage,Open Contender,Group C,6,Single game,Kero Kero Cigaro,Rocket Power,Kero Kero Cigaro,15,11,,,,,Lei Decappelle,Pieter De Pauw,,Adriaan Van Gerven,Stijn Van den Branden,
Group Stage,Open Contender,Group C,6,Single game,Paulo Rico,Roundnet maestro's,Roundnet maestro's,14,15,,,,,Paul Volle,Emeric Lemoine,,Tomer Kedar,Micha Daling,
Group Stage,Open Contender,Group D,6,Single game,Poel/Van Eeckhaute,Gilles leftovers,Gilles leftovers,14,15,,,,,Guillaume Van Eeckhaute,Florian Poel,,Maëlig Potiau,Hugo Lebeaupin,
Group Stage,Open Contender,Group D,6,Single game,Uno Reverse,Dragonfoxes are pretty dope 🐉🦊,Dragonfoxes are pretty dope 🐉🦊,13,15,,,,,Martijn Paes,Daan Paes,,wout thysens,Igor Jottrand,
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,Robin's disciples,Rocket Power,Robin's disciples,15,8,15,8,,,Levi Vandaele,Vincent Mathieu,,Adriaan Van Gerven,Stijn Van den Branden,
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,Here Aghent,Gilles leftovers,Here Aghent,15,8,15,10,,,Robin Florinda,Markus Anderle,,Maëlig Potiau,Hugo Lebeaupin,
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,BEL - Theunis/Declercq,Uno Reverse,BEL - Theunis/Declercq,11,15,15,11,15,9,Bram Declercq,Frederik Theunis,RB Roundnet Belgium,Martijn Paes,Daan Paes,
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,JuPikaï,Kero Kero Cigaro,JuPikaï,15,13,15,12,,,Pierre BUTTET,Julien Blanchard,,Lei Decappelle,Pieter De Pauw,
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,P'tits Loups,Roundnet maestro's,P'tits Loups,21,19,15,11,,,Gilles Hublet,Gauthier Vandamme,,Tomer Kedar,Micha Daling,
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,Burger Kings,Poel/Van Eeckhaute,Burger Kings,10,15,15,10,15,11,Jorn neyens,joeri vlassaks,,Guillaume Van Eeckhaute,Florian Poel,
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,Yezknedl,Dragonfoxes are pretty dope 🐉🦊,Yezknedl,15,13,17,15,,,Fre Eskens,Benjamin Bachler,,wout thysens,Igor Jottrand,
Bracket Stage,Open Contender,Bracket A,Round of 16,Best of 3,Aach Daniel,Paulo Rico,Aach Daniel,15,8,12,15,15,12,Dominik Moritz,Daniel Schimek,,Paul Volle,Emeric Lemoine,
Bracket Stage,Open Contender,Bracket A,Quarter-final,Best of 3,Robin's disciples,Aach Daniel,Robin's disciples,15,9,15,10,,,Levi Vandaele,Vincent Mathieu,,Dominik Moritz,Daniel Schimek,
Bracket Stage,Open Contender,Bracket A,Quarter-final,Best of 3,Here Aghent,Yezknedl,Here Aghent,15,12,15,10,,,Robin Florinda,Markus Anderle,,Fre Eskens,Benjamin Bachler,
Bracket Stage,Open Contender,Bracket A,Quarter-final,Best of 3,BEL - Theunis/Declercq,Burger Kings,BEL - Theunis/Declercq,13,15,15,11,15,13,Bram Declercq,Frederik Theunis,RB Roundnet Belgium,Jorn neyens,joeri vlassaks,
Bracket Stage,Open Contender,Bracket A,Quarter-final,Best of 3,JuPikaï,P'tits Loups,JuPikaï,15,11,18,16,,,Pierre BUTTET,Julien Blanchard,,Gilles Hublet,Gauthier Vandamme,
Bracket Stage,Open Contender,Bracket A,P9: Quarter-final,Best of 3,Paulo Rico,Rocket Power,Rocket Power,0,1,0,1,,,Paul Volle,Emeric Lemoine,,Adriaan Van Gerven,Stijn Van den Branden,
Bracket Stage,Open Contender,Bracket A,P9: Quarter-final,Best of 3,Dragonfoxes are pretty dope 🐉🦊,Gilles leftovers,Dragonfoxes are pretty dope 🐉🦊,15,13,15,10,,,wout thysens,Igor Jottrand,,Maëlig Potiau,Hugo Lebeaupin,
Bracket Stage,Open Contender,Bracket A,P9: Quarter-final,Best of 3,Poel/Van Eeckhaute,Uno Reverse,Poel/Van Eeckhaute,14,16,15,11,15,7,Guillaume Van Eeckhaute,Florian Poel,,Martijn Paes,Daan Paes,
Bracket Stage,Open Contender,Bracket A,P9: Quarter-final,Best of 3,Roundnet maestro's,Kero Kero Cigaro,Kero Kero Cigaro,18,21,18,21,,,Tomer Kedar,Micha Daling,,Lei Decappelle,Pieter De Pauw,
Bracket Stage,Open Contender,Bracket A,Semi-final,Best of 3,Robin's disciples,JuPikaï,Robin's disciples,21,14,21,8,,,Levi Vandaele,Vincent Mathieu,,Pierre BUTTET,Julien Blanchard,
Bracket Stage,Open Contender,Bracket A,Semi-final,Best of 3,Here Aghent,BEL - Theunis/Declercq,Here Aghent,21,15,21,11,,,Robin Florinda,Markus Anderle,,Bram Declercq,Frederik Theunis,RB Roundnet Belgium
